fechaEmision,total,idMedicion,pagado,
2021/04/25,24,213,1,33
2021/04/25,20,214,1,34
2021/04/25,20,215,0,35
2021/04/25,28,216,1,36
2021/04/25,20,217,1,37
2021/04/25,28,218,1,38
2021/04/25,44,219,1,39
2021/04/25,20,220,1,40
2021/04/25,20,221,0,41
2021/04/25,44,222,1,42
2021/04/25,20,223,1,43
2021/04/25,32,224,1,44
2021/04/25,36,225,1,45
2021/04/25,108,226,1,46
2021/04/25,52,227,1,47
2021/04/25,20,228,1,48
2021/04/25,24,229,1,49
2021/04/25,100,230,1,50
2021/04/25,20,231,1,51
2021/04/25,28,232,1,52
2021/04/25,20,233,1,53
2021/04/25,20,234,1,54
2021/04/25,80,235,1,55
2021/04/25,36,236,1,56
2021/04/25,176,237,1,57
2021/04/25,20,238,0,58
2021/04/25,24,239,1,59
2021/04/25,20,240,1,60
2021/04/25,28,241,1,61
2021/04/25,24,242,1,62
2021/04/25,20,243,1,63
2021/04/25,24,244,1,64
2021/04/25,44,245,1,65
2021/04/25,20,246,1,66
2021/04/25,32,247,1,67
2021/04/25,20,248,0,68
2021/04/25,32,249,1,69
2021/04/25,164,250,0,70
2021/04/25,20,251,1,71
2021/04/25,48,252,1,72
2021/04/25,32,253,1,73
2021/04/25,32,254,0,74
2021/04/25,32,255,1,75
2021/04/25,20,256,0,76
2021/04/25,20,257,0,77
2021/04/25,20,258,0,78
2021/04/25,20,259,1,79
2021/04/25,20,260,1,80
2021/04/25,20,261,1,81
2021/04/25,20,262,1,82
2021/04/25,36,263,1,83
2021/04/25,20,264,1,84
2021/04/25,28,265,1,85
2021/04/25,20,266,1,86
2021/04/25,84,267,1,87
2021/04/25,20,268,1,88
2021/04/25,20,269,1,89
2021/04/25,32,270,1,90
2021/04/25,48,271,1,91
2021/04/25,20,272,1,92
2021/04/25,24,273,1,93
2021/04/25,20,274,1,94
2021/04/25,20,275,1,95
2021/04/25,72,276,1,96
2021/04/25,36,277,1,97
2021/04/25,52,278,1,98
2021/04/25,56,279,1,99
2021/04/25,52,280,1,100
2021/04/25,20,281,1,101
2021/04/25,36,282,1,102
2021/04/25,20,283,1,103
2021/04/25,20,284,1,104
2021/04/25,20,285,1,105
2021/04/25,20,286,1,106
2021/04/25,28,287,1,107
2021/04/25,20,288,1,108
2021/04/25,36,289,1,109
2021/04/25,28,290,1,110
2021/04/25,60,291,1,111
2021/04/25,48,292,0,112
2021/04/25,20,293,0,113
2021/04/25,20,294,1,114
2021/04/25,20,295,1,115
2021/04/25,20,296,1,116
2021/04/25,20,297,1,117
2021/04/25,20,298,1,118
2021/04/25,48,299,1,119
2021/04/25,24,300,1,120
2021/04/25,60,301,1,121
2021/04/25,44,302,1,122
2021/04/25,20,303,1,123
2021/04/25,36,304,1,124
2021/04/25,36,305,1,125
2021/04/25,20,306,0,126
2021/04/25,40,307,1,127
2021/04/25,40,308,0,128
2021/04/25,36,309,1,129
2021/04/25,20,310,1,130
2021/04/25,56,311,0,131
2021/04/25,48,312,1,132
2021/04/25,20,313,1,133
2021/04/25,32,314,1,134
2021/04/25,20,315,1,135
2021/04/25,28,316,1,136
2021/04/25,36,317,1,137
2021/04/25,28,318,1,138
2021/04/25,36,319,1,139
2021/04/25,20,320,1,140
2021/04/25,56,321,1,141
2021/04/25,24,322,1,142
2021/04/25,20,323,1,143
2021/04/25,20,324,1,144
2021/04/25,56,325,1,145
2021/04/25,20,326,1,146
2021/04/25,20,327,1,147
2021/04/25,28,328,1,148
2021/04/25,76,329,1,149
2021/04/25,20,330,0,150
2021/04/25,44,331,1,151
2021/04/25,20,332,1,152
2021/04/25,40,333,1,153
2021/04/25,40,334,1,154
2021/04/25,36,335,1,155
2021/04/25,20,336,1,156
2021/04/25,20,337,1,157
2021/04/25,100,338,1,158
2021/04/25,20,339,1,159
2021/04/25,48,340,0,160
2021/04/25,44,341,1,161
2021/04/25,24,342,1,162
2021/04/25,20,343,1,163
2021/04/25,20,344,1,164
2021/04/25,40,345,1,165
2021/04/25,44,346,1,166
2021/04/25,24,347,1,167
2021/04/25,40,348,1,168
2021/04/25,28,349,1,169
2021/04/25,20,350,1,170
2021/04/25,28,351,1,171
2021/04/25,52,352,1,172
2021/04/25,52,353,1,173
2021/04/25,32,354,1,174
2021/04/25,32,355,1,175
2021/04/25,20,356,1,176
2021/04/25,32,357,1,177
2021/04/25,28,358,1,178
